X,Y,Code
123.367494527836,6.94653749073526,150000000
121.038967715887,17.3553565150176,140000000
121.032234974145,14.6063061058571,130000000
123.005718250482,10.0288066131045,180000000
120.484316903944,16.9073248213865,010000000
121.732427872993,17.2073890431637,020000000
120.823338447749,15.392161973774,030000000
121.567465490303,14.1623883874989,040000000
119.905792138405,11.359045060077,170000000
122.848392199866,7.82601134125292,090000000
123.472277872886,13.2735570363984,050000000
122.444270933112,11.1724901272554,060000000
123.941144755691,10.0975027927734,070000000
124.953282432834,11.5371282775149,080000000
124.6741920069,8.18735516860696,100000000
125.826568303595,7.21035089092466,110000000
124.812951840088,6.60098191240542,120000000
125.791479011069,8.81261153398719,160000000
